Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
23034,2014,5,12,21.5,1,N
23034,2014,5,13,22.4,1,N
23034,2014,5,14,23.8,1,N
23034,2014,5,15,24.2,1,N
23034,2014,5,16,26.2,1,N
23034,2014,5,17,24,1,N
23034,2014,5,18,23.8,1,N
23034,2014,5,19,22.1,1,N
23034,2014,5,20,23.3,1,N
23034,2014,5,21,26.1,1,N
23034,2014,5,22,24.8,1,N
23034,2014,5,23,20.4,1,N
23034,2014,5,24,24.2,1,N
23034,2014,5,25,23.8,1,N
23034,2014,5,26,18.6,1,N
23034,2014,5,27,18.2,1,N
23034,2014,5,28,18.5,1,N
23034,2014,5,29,20.6,1,N
23034,2014,5,30,20.7,1,N
23034,2014,5,31,15.1,1,N
23034,2014,6,1,16.4,1,N
23034,2014,6,2,17.5,1,N
23034,2014,6,3,17.6,1,N
23034,2014,6,4,17.5,1,N
23034,2014,6,5,17.2,1,N
23034,2014,6,6,17.5,1,N
23034,2014,6,7,19.3,1,N
23034,2014,6,8,17.4,1,N
23034,2014,6,9,14.6,1,N
23034,2014,6,10,18.8,1,N
23034,2014,6,11,17.3,1,N
23034,2014,6,12,17.5,1,N
23034,2014,6,13,13.7,1,N
23034,2014,6,14,16.4,1,N
23034,2014,6,15,16.1,1,N
23034,2014,6,16,17.2,1,N
23034,2014,6,17,15.7,1,N
23034,2014,6,18,16.6,1,N
23034,2014,6,19,16.3,1,N
23034,2014,6,20,17,1,N
23034,2014,6,21,16.4,1,N
23034,2014,6,22,17.3,1,N
23034,2014,6,23,14.3,1,N
23034,2014,6,24,16.1,1,N
23034,2014,6,25,16.2,1,N
23034,2014,6,26,15.9,1,N
23034,2014,6,27,17.1,1,N
23034,2014,6,28,13.1,1,N
23034,2014,6,29,14.5,1,N
23034,2014,6,30,15.2,1,N
23034,2014,7,1,15.3,1,N
23034,2014,7,2,16.1,1,N
23034,2014,7,3,15.9,1,N
23034,2014,7,4,15.7,1,N
23034,2014,7,5,14,1,N
23034,2014,7,6,15.4,1,N
23034,2014,7,7,15.3,1,N
23034,2014,7,8,17.6,1,N
23034,2014,7,9,12.6,1,N
23034,2014,7,10,14.3,1,N
23034,2014,7,11,15.5,1,N
86282,2014,1,1,25.1,1,Y
86282,2014,1,2,23.6,1,Y
86282,2014,1,3,23.6,1,Y
86282,2014,1,4,21.1,1,Y
86282,2014,1,5,27.2,1,Y
86282,2014,1,6,19.9,1,Y
86282,2014,1,7,19.1,1,Y
86282,2014,1,8,27.3,1,Y
86282,2014,1,9,32.4,1,Y
86282,2014,1,10,34.9,1,Y
86282,2014,1,11,23.1,1,Y
86282,2014,1,12,24.6,1,Y
86282,2014,1,13,34.6,1,Y
86282,2014,1,14,43.5,1,Y
86282,2014,1,15,42.9,1,Y
86282,2014,1,16,43.1,1,Y
86282,2014,1,17,43.9,1,Y
86282,2014,1,18,25.7,1,Y
86282,2014,1,19,23.1,1,Y
86282,2014,1,20,24.7,1,Y
86282,2014,1,21,22.6,1,Y
86282,2014,1,22,23.4,1,Y
86282,2014,1,23,33.7,1,Y
86282,2014,1,24,22.8,1,Y
86282,2014,1,25,20.3,1,Y
86282,2014,1,26,28.2,1,Y
86282,2014,1,27,35.5,1,Y
86282,2014,1,28,42.1,1,Y
86282,2014,1,29,23.7,1,Y
86282,2014,1,30,31.1,1,Y
86282,2014,1,31,28.1,1,Y
86282,2014,2,1,33.7,1,N
86282,2014,2,2,40.5,1,N
86282,2014,2,3,37.5,1,N
86282,2014,2,4,25,1,N
86282,2014,2,5,30.9,1,N
86282,2014,2,6,35.3,1,N
86282,2014,2,7,37.9,1,N
86282,2014,2,8,42.2,1,N
86282,2014,2,9,41.2,1,N
86282,2014,2,10,23.7,1,N
86282,2014,2,11,27.3,1,N
86282,2014,2,12,28.1,1,N
86282,2014,2,13,26.4,1,N
86282,2014,2,14,27,1,N
86282,2014,2,15,28.2,1,N
86282,2014,2,16,22.9,1,N
86282,2014,2,17,25.7,1,N
86282,2014,2,18,31.9,1,N
86282,2014,2,19,25.7,1,N
86282,2014,2,20,20.2,1,N
86282,2014,2,21,20.6,1,N
86282,2014,2,22,19.7,1,N
86282,2014,2,23,24.6,1,N
86282,2014,2,24,27.3,1,N
86282,2014,2,25,36.4,1,N
86282,2014,2,26,21.5,1,N
86282,2014,2,27,21.3,1,N
86282,2014,2,28,23.2,1,N
86282,2014,3,1,23.2,1,N
86282,2014,3,2,22.6,1,N
86282,2014,3,3,26.7,1,N
86282,2014,3,4,34.1,1,N
86282,2014,3,5,22.9,1,N
86282,2014,3,6,21,1,N
86282,2014,3,7,22.7,1,N
86282,2014,3,8,27.9,1,N
86282,2014,3,9,33.4,1,N
86282,2014,3,10,35.2,1,N
86282,2014,3,11,32.1,1,N
86282,2014,3,12,21.3,1,N
86282,2014,3,13,23.7,1,N
86282,2014,3,14,28.6,1,N
86282,2014,3,15,30.2,1,N
86282,2014,3,16,20,1,N
86282,2014,3,17,25.3,1,N
86282,2014,3,18,25.1,1,N
86282,2014,3,19,22.1,1,N
86282,2014,3,20,31.1,1,N
86282,2014,3,21,25.7,1,N
86282,2014,3,22,18.4,1,N
86282,2014,3,23,16.8,1,N
86282,2014,3,24,18.3,1,N
86282,2014,3,25,24.3,1,N
86282,2014,3,26,27.3,1,N
86282,2014,3,27,25.9,1,N
86282,2014,3,28,22,1,N
86282,2014,3,29,24.4,1,N
86282,2014,3,30,26.6,1,N
86282,2014,3,31,32,1,N
86282,2014,4,1,33.7,1,Y
86282,2014,4,2,23.6,1,Y
86282,2014,4,3,17.3,1,Y
86282,2014,4,4,18.6,1,Y
86282,2014,4,5,24.3,1,Y
86282,2014,4,6,23.2,1,Y
86282,2014,4,7,25.2,1,Y
86282,2014,4,8,20.9,1,Y
86282,2014,4,9,17.5,1,Y
86282,2014,4,10,18.2,1,Y
86282,2014,4,11,17,1,Y
86282,2014,4,12,20.7,1,Y
86282,2014,4,13,20.4,1,Y
86282,2014,4,14,20.3,1,Y
86282,2014,4,15,19.5,1,Y
86282,2014,4,16,22.6,1,Y
86282,2014,4,17,24.4,1,Y
86282,2014,4,18,18.9,1,Y
86282,2014,4,19,16.2,1,Y
86282,2014,4,20,18.6,1,Y
86282,2014,4,21,19,1,Y
86282,2014,4,22,17.3,1,Y
86282,2014,4,23,18.8,1,Y
86282,2014,4,24,17,1,Y
86282,2014,4,25,20.1,1,Y
86282,2014,4,26,19,1,Y
86282,2014,4,27,16.1,1,Y
86282,2014,4,28,21,1,Y
86282,2014,4,29,18,1,Y
86282,2014,4,30,15.9,1,Y
86282,2014,5,1,15.6,1,N
86282,2014,5,2,13.6,1,N
86282,2014,5,3,15.5,1,N
86282,2014,5,4,12.7,1,N
86282,2014,5,5,16.3,1,N
86282,2014,5,6,14.4,1,N
86282,2014,5,7,14.5,1,N
86282,2014,5,8,17.5,1,N
86282,2014,5,9,16.8,1,N
86282,2014,5,10,16.9,1,N
86282,2014,5,11,18.9,1,N
86282,2014,5,12,18.5,1,N
86282,2014,5,13,20.4,1,N
86282,2014,5,14,20.7,1,N
86282,2014,5,15,21.6,1,N
86282,2014,5,16,23.3,1,N
86282,2014,5,17,18.8,1,N
86282,2014,5,18,21.2,1,N
86282,2014,5,19,22.8,1,N
86282,2014,5,20,22.1,1,N
86282,2014,5,21,23.4,1,N
86282,2014,5,22,20.7,1,N
86282,2014,5,23,20.2,1,N
86282,2014,5,24,17,1,N
86282,2014,5,25,19.5,1,N
86282,2014,5,26,19.4,1,N
86282,2014,5,27,20,1,N
86282,2014,5,28,18.3,1,N
86282,2014,5,29,15,1,N
86282,2014,5,30,17.2,1,N
86282,2014,5,31,18.4,1,N
86282,2014,6,1,14.3,1,N
86282,2014,6,2,15,1,N
86282,2014,6,3,16.3,1,N
86282,2014,6,4,17.9,1,N
86282,2014,6,5,14.9,1,N
86282,2014,6,6,14.9,1,N
86282,2014,6,7,15.7,1,N
86282,2014,6,8,13.5,1,N
86282,2014,6,9,14.2,1,N
86282,2014,6,10,18.1,1,N
86282,2014,6,11,16.2,1,N
86282,2014,6,12,15,1,N
86282,2014,6,13,16.6,1,N
86282,2014,6,14,14.6,1,N
86282,2014,6,15,14.3,1,N
86282,2014,6,16,15.8,1,N
86282,2014,6,17,15.1,1,N
86282,2014,6,18,13.1,1,N
86282,2014,6,19,11.1,1,N
86282,2014,6,20,14.7,1,N
86282,2014,6,21,14.8,1,N
86282,2014,6,22,14.5,1,N
86282,2014,6,23,14.6,1,N
86282,2014,6,24,13.6,1,N
86282,2014,6,25,15.3,1,N
86282,2014,6,26,15.4,1,N
86282,2014,6,27,14.1,1,N
86282,2014,6,28,11.9,1,N
86282,2014,6,29,11.7,1,N
86282,2014,6,30,12.3,1,N
86282,2014,7,1,12,1,N
86282,2014,7,2,15.8,1,N
86282,2014,7,3,11.7,1,N
86282,2014,7,4,10.8,1,N
86282,2014,7,5,14.5,1,N
86282,2014,7,6,13.2,1,N
86282,2014,7,7,15.3,1,N
86282,2014,7,8,13.6,1,N
86282,2014,7,9,10.6,1,N
86282,2014,7,10,13.5,1,N
86282,2014,7,11,14.4,1,N
23034,2014,1,1,31.3,1,N
23034,2014,1,2,23.1,1,N
23034,2014,1,3,21.8,1,N
23034,2014,1,4,21.8,1,N
23034,2014,1,5,21.7,1,N
23034,2014,1,6,21.7,1,N
23034,2014,1,7,24.1,1,N
23034,2014,1,8,25.4,1,N
23034,2014,1,9,27.2,1,N
23034,2014,1,10,33,1,N
23034,2014,1,11,30.5,1,N
23034,2014,1,12,35,1,N
23034,2014,1,13,38.2,1,N
23034,2014,1,14,43.3,1,N
23034,2014,1,15,42.3,1,N
23034,2014,1,16,41.7,1,N
23034,2014,1,17,40.3,1,N
23034,2014,1,18,29.6,1,N
23034,2014,1,19,27.9,1,N
23034,2014,1,20,29,1,N
23034,2014,1,21,26.6,1,N
23034,2014,1,22,27.8,1,N
23034,2014,1,23,28.7,1,N
23034,2014,1,24,24.9,1,N
23034,2014,1,25,27.5,1,N
23034,2014,1,26,31.3,1,N
23034,2014,1,27,37.5,1,N
23034,2014,1,28,41.4,1,N
23034,2014,1,29,31.1,1,N
23034,2014,1,30,32.2,1,N
23034,2014,1,31,33.3,1,N
23034,2014,2,1,41.3,1,N
23034,2014,2,2,42.3,1,N
23034,2014,2,3,27.2,1,N
23034,2014,2,4,28.1,1,N
23034,2014,2,5,27.9,1,N
23034,2014,2,6,26.8,1,N
23034,2014,2,7,35.7,1,N
23034,2014,2,8,41.3,1,N
23034,2014,2,9,26.1,1,N
23034,2014,2,10,32.5,1,N
23034,2014,2,11,39.2,1,N
23034,2014,2,12,40.3,1,N
23034,2014,2,13,26.6,1,N
23034,2014,2,14,25.1,1,N
23034,2014,2,15,24.8,1,N
23034,2014,2,16,23.4,1,N
23034,2014,2,17,25,1,N
23034,2014,2,18,23,1,N
23034,2014,2,19,20.8,1,N
23034,2014,2,20,20.9,1,N
23034,2014,2,21,21,1,N
23034,2014,2,22,23.3,1,N
23034,2014,2,23,26.2,1,N
23034,2014,2,24,25.4,1,N
23034,2014,2,25,22.1,1,N
23034,2014,2,26,23.7,1,N
23034,2014,2,27,24.9,1,N
23034,2014,2,28,25.1,1,N
23034,2014,3,1,26.4,1,N
23034,2014,3,2,29.1,1,N
23034,2014,3,3,28.5,1,N
23034,2014,3,4,34,1,N
23034,2014,3,5,24.3,1,N
23034,2014,3,6,24.3,1,N
23034,2014,3,7,24.4,1,N
23034,2014,3,8,27.3,1,N
23034,2014,3,9,35.2,1,N
23034,2014,3,10,35,1,N
23034,2014,3,11,31.8,1,N
23034,2014,3,12,22.1,1,N
23034,2014,3,13,22.7,1,N
23034,2014,3,14,27.3,1,N
23034,2014,3,15,22.5,1,N
23034,2014,3,16,21.6,1,N
23034,2014,3,17,23.1,1,N
23034,2014,3,18,23.1,1,N
23034,2014,3,19,22.5,1,N
23034,2014,3,20,30.7,1,N
23034,2014,3,21,21.4,1,N
23034,2014,3,22,21.5,1,N
23034,2014,3,23,20.5,1,N
23034,2014,3,24,22.1,1,N
23034,2014,3,25,20.5,1,N
23034,2014,3,26,26.7,1,N
23034,2014,3,27,26.2,1,N
23034,2014,3,28,23.9,1,N
23034,2014,3,29,23.4,1,N
23034,2014,3,30,32.4,1,N
23034,2014,3,31,32.4,1,N
23034,2014,4,1,35.1,1,N
23034,2014,4,2,22.5,1,N
23034,2014,4,3,22.1,1,N
23034,2014,4,4,21.9,1,N
23034,2014,4,5,21.5,1,N
23034,2014,4,6,23.6,1,N
23034,2014,4,7,28,1,N
23034,2014,4,8,23.1,1,N
23034,2014,4,9,22.1,1,N
23034,2014,4,10,23.5,1,N
23034,2014,4,11,19.5,1,N
23034,2014,4,12,20.9,1,N
23034,2014,4,13,22,1,N
23034,2014,4,14,22.7,1,N
23034,2014,4,15,22.8,1,N
23034,2014,4,16,22.8,1,N
23034,2014,4,17,22.8,1,N
23034,2014,4,18,20.6,1,N
23034,2014,4,19,19.3,1,N
23034,2014,4,20,22.9,1,N
23034,2014,4,21,27.8,1,N
23034,2014,4,22,20.7,1,N
23034,2014,4,23,20.7,1,N
23034,2014,4,24,20.8,1,N
23034,2014,4,25,23.5,1,N
23034,2014,4,26,20.6,1,N
23034,2014,4,27,22.7,1,N
23034,2014,4,28,29.4,1,N
23034,2014,4,29,19.4,1,N
23034,2014,4,30,18.2,1,N
23034,2014,5,1,17.6,1,N
23034,2014,5,2,14.5,1,N
23034,2014,5,3,15.9,1,N
23034,2014,5,4,16.9,1,N
23034,2014,5,5,18.5,1,N
23034,2014,5,6,17.6,1,N
23034,2014,5,7,18.2,1,N
23034,2014,5,8,18,1,N
23034,2014,5,9,15,1,N
23034,2014,5,10,19.8,1,N
23034,2014,5,11,19.3,1,N
23034,2014,5,12,21.5,1,N
23034,2014,5,13,22.4,1,N
23034,2014,5,14,23.8,1,N
23034,2014,5,15,24.2,1,N
23034,2014,5,16,26.2,1,N
23034,2014,5,17,24,1,N
23034,2014,5,18,23.8,1,N
23034,2014,5,19,22.1,1,N
23034,2014,5,20,23.3,1,N
23034,2014,5,21,26.1,1,N
23034,2014,5,22,24.8,1,N
23034,2014,5,23,20.4,1,N
23034,2014,5,24,24.2,1,N
23034,2014,5,25,23.8,1,N
23034,2014,5,26,18.6,1,N
23034,2014,5,27,18.2,1,N
23034,2014,5,28,18.5,1,N
23034,2014,5,29,20.6,1,N
23034,2014,5,30,20.7,1,N
23034,2014,5,31,15.1,1,N
23034,2014,6,1,16.4,1,N
23034,2014,6,2,17.5,1,N
23034,2014,6,3,17.6,1,N
23034,2014,6,4,17.5,1,N
23034,2014,6,5,17.2,1,N
23034,2014,6,6,17.5,1,N
23034,2014,6,7,19.3,1,N
23034,2014,6,8,17.4,1,N
23034,2014,6,9,14.6,1,N
23034,2014,6,10,18.8,1,N
23034,2014,6,11,17.3,1,N
23034,2014,6,12,17.5,1,N
23034,2014,6,13,13.7,1,N
23034,2014,6,14,16.4,1,N
23034,2014,6,15,16.1,1,N
23034,2014,6,16,17.2,1,N
23034,2014,6,17,15.7,1,N
23034,2014,6,18,16.6,1,N
23034,2014,6,19,16.3,1,N
23034,2014,6,20,17,1,N
23034,2014,6,21,16.4,1,N
23034,2014,6,22,17.3,1,N
23034,2014,6,23,14.3,1,N
23034,2014,6,24,16.1,1,N
23034,2014,6,25,16.2,1,N
23034,2014,6,26,15.9,1,N
23034,2014,6,27,17.1,1,N
23034,2014,6,28,13.1,1,N
23034,2014,6,29,14.5,1,N
23034,2014,6,30,15.2,1,N
23034,2014,7,1,15.3,1,N
23034,2014,7,2,16.1,1,N
23034,2014,7,3,15.9,1,N
23034,2014,7,4,15.7,1,N
23034,2014,7,5,14,1,N
23034,2014,7,6,15.4,1,N
23034,2014,7,7,15.3,1,N
23034,2014,7,8,17.6,1,N
23034,2014,7,9,12.6,1,N
23034,2014,7,10,14.3,1,N
23034,2014,7,11,15.5,1,N
94029,2014,1,1,22.7,1,N
94029,2014,1,2,20.4,1,N
94029,2014,1,3,22.3,1,N
94029,2014,1,4,19.9,1,N
94029,2014,1,5,21.7,1,N
94029,2014,1,6,17.3,1,N
94029,2014,1,7,15.6,1,N
94029,2014,1,8,18.1,1,N
94029,2014,1,9,20.7,1,N
94029,2014,1,10,29.9,1,N
94029,2014,1,11,25.6,1,N
94029,2014,1,12,21.7,1,N
94029,2014,1,13,25,1,N
94029,2014,1,14,30.3,1,N
94029,2014,1,15,24.3,1,N
94029,2014,1,16,22.6,1,N
94029,2014,1,17,32.7,1,N
94029,2014,1,18,22.5,1,N
94029,2014,1,19,19.2,1,N
94029,2014,1,20,20.7,1,N
94029,2014,1,21,21.9,1,N
94029,2014,1,22,21.3,1,N
94029,2014,1,23,21.1,1,N
94029,2014,1,24,25.5,1,N
94029,2014,1,25,19,1,N
94029,2014,1,26,24.5,1,N
94029,2014,1,27,34.7,1,N
94029,2014,1,28,38.9,1,N
94029,2014,1,29,21.5,1,N
94029,2014,1,30,24.2,1,N
94029,2014,1,31,22,1,N
94029,2014,2,1,29.5,1,N
94029,2014,2,2,27,1,N
94029,2014,2,3,23.5,1,N
94029,2014,2,4,18.2,1,N
94029,2014,2,5,19.5,1,N
94029,2014,2,6,24.8,1,N
94029,2014,2,7,27.5,1,N
94029,2014,2,8,26.3,1,N
94029,2014,2,9,35.4,1,N
94029,2014,2,10,21.3,1,N
94029,2014,2,11,22.7,1,N
94029,2014,2,12,22.8,1,N
94029,2014,2,13,30.2,1,N
94029,2014,2,14,17.4,1,N
94029,2014,2,15,26.5,1,N
94029,2014,2,16,19.2,1,N
94029,2014,2,17,18.6,1,N
94029,2014,2,18,21.8,1,N
94029,2014,2,19,21.9,1,N
94029,2014,2,20,23.6,1,N
94029,2014,2,21,18.4,1,N
94029,2014,2,22,20.8,1,N
94029,2014,2,23,25.4,1,N
94029,2014,2,24,16.6,1,N
94029,2014,2,25,26.7,1,N
94029,2014,2,26,20.9,1,N
94029,2014,2,27,19.8,1,N
94029,2014,2,28,19.7,1,N
94029,2014,3,1,22.3,1,N
94029,2014,3,2,17.5,1,N
94029,2014,3,3,20.6,1,N
94029,2014,3,4,30.2,1,N
94029,2014,3,5,22.1,1,N
94029,2014,3,6,21.1,1,N
94029,2014,3,7,21.1,1,N
94029,2014,3,8,21.1,1,N
94029,2014,3,9,29.6,1,N
94029,2014,3,10,27.6,1,N
94029,2014,3,11,32,1,N
94029,2014,3,12,19.7,1,N
94029,2014,3,13,27.4,1,N
94029,2014,3,14,21.5,1,N
94029,2014,3,15,27.3,1,N
94029,2014,3,16,20.9,1,N
94029,2014,3,17,21.5,1,N
94029,2014,3,18,22.4,1,N
94029,2014,3,19,20.7,1,N
94029,2014,3,20,25.4,1,N
94029,2014,3,21,14.8,1,N
94029,2014,3,22,15.7,1,N
94029,2014,3,23,20.2,1,N
94029,2014,3,24,18.7,1,N
94029,2014,3,25,19.4,1,N
94029,2014,3,26,21.7,1,N
94029,2014,3,27,18.3,1,N
94029,2014,3,28,17.9,1,N
94029,2014,3,29,19.5,1,N
94029,2014,3,30,20.2,1,N
94029,2014,3,31,24.9,1,N
94029,2014,4,1,31,1,N
94029,2014,4,2,21.9,1,N
94029,2014,4,3,18.5,1,N
94029,2014,4,4,17.6,1,N
94029,2014,4,5,17.3,1,N
94029,2014,4,6,19.4,1,N
94029,2014,4,7,21.4,1,N
94029,2014,4,8,20.7,1,N
94029,2014,4,9,22.8,1,N
94029,2014,4,10,22.7,1,N
94029,2014,4,11,12.9,1,N
94029,2014,4,12,14.4,1,N
94029,2014,4,13,19,1,N
94029,2014,4,14,18.4,1,N
94029,2014,4,15,16,1,N
94029,2014,4,16,18.5,1,N
94029,2014,4,17,21.2,1,N
94029,2014,4,18,16.7,1,N
94029,2014,4,19,14.8,1,N
94029,2014,4,20,18.8,1,N
94029,2014,4,21,15.5,1,N
94029,2014,4,22,20.4,1,N
94029,2014,4,23,16.9,1,N
94029,2014,4,24,12.8,1,N
94029,2014,4,25,16,1,N
94029,2014,4,26,12.9,1,N
94029,2014,4,27,14.4,1,N
94029,2014,4,28,19.5,1,N
94029,2014,4,29,20.4,1,N
94029,2014,4,30,14.8,1,N
94029,2014,5,1,15.9,1,N
94029,2014,5,2,13.9,1,N
94029,2014,5,3,12.3,1,N
94029,2014,5,4,12.3,1,N
94029,2014,5,5,13.4,1,N
94029,2014,5,6,12.3,1,N
94029,2014,5,7,11.6,1,N
94029,2014,5,8,14.2,1,N
94029,2014,5,9,16.1,1,N
94029,2014,5,10,13.8,1,N
94029,2014,5,11,19.9,1,N
94029,2014,5,12,16.9,1,N
94029,2014,5,13,17.9,1,N
94029,2014,5,14,19.2,1,N
94029,2014,5,15,23.9,1,N
94029,2014,5,16,18.7,1,N
94029,2014,5,17,21.1,1,N
94029,2014,5,18,18.6,1,N
94029,2014,5,19,18.8,1,N
94029,2014,5,20,15.4,1,N
94029,2014,5,21,15.6,1,N
94029,2014,5,22,17.7,1,N
94029,2014,5,23,14.2,1,N
94029,2014,5,24,13.9,1,N
94029,2014,5,25,15,1,N
94029,2014,5,26,13.9,1,N
94029,2014,5,27,17.1,1,N
94029,2014,5,28,15.2,1,N
94029,2014,5,29,10.8,1,N
94029,2014,5,30,13.4,1,N
94029,2014,5,31,9.2,1,N
94029,2014,6,1,12.4,1,N
94029,2014,6,2,15.7,1,N
94029,2014,6,3,13.4,1,N
94029,2014,6,4,15.5,1,N
94029,2014,6,5,13.5,1,N
94029,2014,6,6,14.5,1,N
94029,2014,6,7,12.9,1,N
94029,2014,6,8,11,1,N
94029,2014,6,9,9,1,N
94029,2014,6,10,10,1,N
94029,2014,6,11,12.7,1,N
94029,2014,6,12,12.4,1,N
94029,2014,6,13,12.6,1,N
94029,2014,6,14,12.8,1,N
94029,2014,6,15,11.5,1,N
94029,2014,6,16,14.4,1,N
94029,2014,6,17,15.3,1,N
94029,2014,6,18,15.1,1,N
94029,2014,6,19,13.6,1,N
94029,2014,6,20,15.7,1,N
94029,2014,6,21,14.5,1,N
94029,2014,6,22,15.8,1,N
94029,2014,6,23,14.8,1,N
94029,2014,6,24,12.6,1,N
94029,2014,6,25,15.3,1,N
94029,2014,6,26,11.1,1,N
94029,2014,6,27,17.4,1,N
94029,2014,6,28,12.1,1,N
94029,2014,6,29,9.5,1,N
94029,2014,6,30,11.2,1,N
94029,2014,7,1,13.7,1,N
94029,2014,7,2,16.2,1,N
94029,2014,7,3,17.5,1,N
94029,2014,7,4,14.8,1,N
94029,2014,7,5,13.9,1,N
94029,2014,7,6,10.7,1,N
94029,2014,7,7,14,1,N
94029,2014,7,8,16,1,N
94029,2014,7,9,13.4,1,N
94029,2014,7,10,,,
94029,2014,7,11,15.6,1,N
