Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
9021,2014,1,1,12.8,1,Y
9021,2014,1,2,9.6,1,Y
9021,2014,1,3,13.8,1,Y
9021,2014,1,4,13,1,Y
9021,2014,1,5,15.9,1,Y
9021,2014,1,6,16.4,1,Y
9021,2014,1,7,16.9,1,Y
9021,2014,1,8,15.7,1,Y
9021,2014,1,9,15.6,1,Y
9021,2014,1,10,16.4,1,Y
9021,2014,1,11,20.6,1,Y
9021,2014,1,12,28.5,1,Y
9021,2014,1,13,20.7,1,Y
9021,2014,1,14,14.5,1,Y
9021,2014,1,15,14.5,1,Y
9021,2014,1,16,18.1,1,Y
9021,2014,1,17,15.6,1,Y
9021,2014,1,18,14.1,1,Y
9021,2014,1,19,19,1,Y
9021,2014,1,20,20.6,1,Y
9021,2014,1,21,19.6,1,Y
9021,2014,1,22,23.4,1,Y
9021,2014,1,23,22.6,1,Y
9021,2014,1,24,23.2,1,Y
9021,2014,1,25,24.5,1,Y
9021,2014,1,26,22.5,1,Y
9021,2014,1,27,15.5,1,Y
9021,2014,1,28,15.5,1,Y
9021,2014,1,29,16.6,1,Y
9021,2014,1,30,17.4,1,Y
9021,2014,1,31,20,1,Y
9021,2014,2,1,17.2,1,N
9021,2014,2,2,16.7,1,N
9021,2014,2,3,17.2,1,N
9021,2014,2,4,21.5,1,N
9021,2014,2,5,20,1,N
9021,2014,2,6,20,1,N
9021,2014,2,7,19.5,1,N
9021,2014,2,8,14.4,1,N
9021,2014,2,9,15.2,1,N
9021,2014,2,10,17,1,N
9021,2014,2,11,17.5,1,N
9021,2014,2,12,20.3,1,N
9021,2014,2,13,20.5,1,N
9021,2014,2,14,19.5,1,N
9021,2014,2,15,15.7,1,N
9021,2014,2,16,13.3,1,N
9021,2014,2,17,17.6,1,N
9021,2014,2,18,18,1,N
9021,2014,2,19,17.3,1,N
9021,2014,2,20,21.5,1,N
9021,2014,2,21,19.6,1,N
9021,2014,2,22,24.1,1,N
9021,2014,2,23,20.1,1,N
9021,2014,2,24,14.8,1,N
9021,2014,2,25,19.8,1,N
9021,2014,2,26,15.9,1,N
9021,2014,2,27,17.1,1,N
9021,2014,2,28,17.1,1,N
9021,2014,3,1,20,1,N
9021,2014,3,2,15.8,1,N
9021,2014,3,3,15.2,1,N
9021,2014,3,4,17.7,1,N
9021,2014,3,5,17.3,1,N
9021,2014,3,6,17.6,1,N
9021,2014,3,7,23.1,1,N
9021,2014,3,8,21,1,N
9021,2014,3,9,12.1,1,N
9021,2014,3,10,12.5,1,N
9021,2014,3,11,16.9,1,N
9021,2014,3,12,19.9,1,N
9021,2014,3,13,20.7,1,N
9021,2014,3,14,14.3,1,N
9021,2014,3,15,8,1,N
9021,2014,3,16,9.8,1,N
9021,2014,3,17,11.9,1,N
9021,2014,3,18,16.2,1,N
9021,2014,3,19,18.1,1,N
9021,2014,3,20,18.8,1,N
9021,2014,3,21,16.7,1,N
9021,2014,3,22,18.7,1,N
9021,2014,3,23,20.4,1,N
9021,2014,3,24,22.8,1,N
9021,2014,3,25,21.6,1,N
9021,2014,3,26,20.2,1,N
9021,2014,3,27,16.6,1,N
9021,2014,3,28,17,1,N
9021,2014,3,29,18.2,1,N
9021,2014,3,30,16.1,1,N
9021,2014,3,31,14.3,1,N
9021,2014,4,1,15.4,1,N
9021,2014,4,2,10.3,1,N
9021,2014,4,3,13.1,1,N
9021,2014,4,4,11.2,1,N
9021,2014,4,5,14.7,1,N
9021,2014,4,6,12.5,1,N
9021,2014,4,7,12.9,1,N
9021,2014,4,8,12.9,1,N
9021,2014,4,9,18.2,1,N
9021,2014,4,10,21.1,1,N
9021,2014,4,11,20.3,1,N
9021,2014,4,12,18.3,1,N
9021,2014,4,13,16.6,1,N
9021,2014,4,14,17,1,N
9021,2014,4,15,14.6,1,N
9021,2014,4,16,16.7,1,N
9021,2014,4,17,8.2,1,N
9021,2014,4,18,13.3,1,N
9021,2014,4,19,9.2,1,N
9021,2014,4,20,11,1,N
9021,2014,4,21,7.4,1,N
9021,2014,4,22,5.6,1,N
9021,2014,4,23,6.2,1,N
9021,2014,4,24,16.3,1,N
9021,2014,4,25,14.6,1,N
9021,2014,4,26,14.4,1,N
9021,2014,4,27,16.9,1,N
9021,2014,4,28,10.9,1,N
9021,2014,4,29,5.9,1,N
9021,2014,4,30,8.6,1,N
9021,2014,5,1,5.2,1,N
9021,2014,5,2,7.4,1,N
9021,2014,5,3,5.6,1,N
9021,2014,5,4,14.3,1,N
9021,2014,5,5,13.9,1,N
9021,2014,5,6,15.2,1,N
9021,2014,5,7,17.6,1,N
9021,2014,5,8,12.5,1,N
9021,2014,5,9,11.5,1,N
9021,2014,5,10,13.2,1,N
9021,2014,5,11,11.1,1,N
9021,2014,5,12,11.1,1,N
9021,2014,5,13,10.7,1,N
9021,2014,5,14,11.8,1,N
9021,2014,5,15,12.5,1,N
9021,2014,5,16,10.2,1,N
9021,2014,5,17,10.6,1,N
9021,2014,5,18,11.3,1,N
9021,2014,5,19,15.3,1,N
9021,2014,5,20,15.5,1,N
9021,2014,5,21,14.9,1,N
9021,2014,5,22,12.8,1,N
9021,2014,5,23,14.6,1,N
9021,2014,5,24,14,1,N
9021,2014,5,25,11.6,1,N
9021,2014,5,26,13.2,1,N
9021,2014,5,27,13.7,1,N
9021,2014,5,28,10.6,1,N
9021,2014,5,29,8,1,N
9021,2014,5,30,6.2,1,N
9021,2014,5,31,9.4,1,N
9021,2014,6,1,9.1,1,N
9021,2014,6,2,12.5,1,N
9021,2014,6,3,9.6,1,N
9021,2014,6,4,8,1,N
9021,2014,6,5,10.8,1,N
9021,2014,6,6,11.6,1,N
9021,2014,6,7,13,1,N
9021,2014,6,8,14.4,1,N
9021,2014,6,9,14.1,1,N
9021,2014,6,10,14.2,1,N
9021,2014,6,11,3.1,1,N
9021,2014,6,12,3.7,1,N
9021,2014,6,13,1.9,1,N
9021,2014,6,14,1,1,N
9021,2014,6,15,3.8,1,N
9021,2014,6,16,7.3,1,N
9021,2014,6,17,6.4,1,N
9021,2014,6,18,10.7,1,N
9021,2014,6,19,9.2,1,N
9021,2014,6,20,11.9,1,N
9021,2014,6,21,9.1,1,N
9021,2014,6,22,6,1,N
9021,2014,6,23,1.3,1,N
9021,2014,6,24,3.9,1,N
9021,2014,6,25,2.9,1,N
9021,2014,6,26,5.1,1,N
9021,2014,6,27,2.9,1,N
9021,2014,6,28,4.9,1,N
9021,2014,6,29,3.2,1,N
9021,2014,6,30,9.6,1,N
9021,2014,7,1,12.3,1,N
9021,2014,7,2,16.2,1,N
9021,2014,7,3,2.3,1,N
9021,2014,7,4,4.3,1,N
9021,2014,7,5,10.5,1,N
9021,2014,7,6,14.7,1,N
9021,2014,7,7,10.8,1,N
9021,2014,7,8,9.7,1,N
9021,2014,7,9,2.6,1,N
9021,2014,7,10,2.6,1,N
9021,2014,7,11,8.4,1,N
9021,2014,7,12,9.3,1,N
3003,2014,1,1,26.3,1,Y
3003,2014,1,2,27.4,1,Y
3003,2014,1,3,26.9,1,Y
3003,2014,1,4,27.9,1,Y
3003,2014,1,5,28.5,1,Y
3003,2014,1,6,26.7,1,Y
3003,2014,1,7,28.6,1,Y
3003,2014,1,8,28.6,1,Y
3003,2014,1,9,26.2,1,Y
3003,2014,1,10,28.6,1,Y
3003,2014,1,11,29.2,1,Y
3003,2014,1,12,29.2,1,Y
3003,2014,1,13,29.3,1,Y
3003,2014,1,14,27.6,1,Y
3003,2014,1,15,25,1,Y
3003,2014,1,16,29.6,1,Y
3003,2014,1,17,29.5,1,Y
3003,2014,1,18,23.8,1,Y
3003,2014,1,19,25.3,1,Y
3003,2014,1,20,26.8,1,Y
3003,2014,1,21,24.8,1,Y
3003,2014,1,22,23.5,1,Y
3003,2014,1,23,26.4,1,Y
3003,2014,1,24,28.2,1,Y
3003,2014,1,25,25.3,1,Y
3003,2014,1,26,22.9,1,Y
3003,2014,1,27,23.7,1,Y
3003,2014,1,28,23.2,1,Y
3003,2014,1,29,24.3,1,Y
3003,2014,1,30,25.7,1,Y
3003,2014,1,31,23.6,1,Y
3003,2014,2,1,29,1,N
3003,2014,2,2,26.6,1,N
3003,2014,2,3,29,1,N
3003,2014,2,4,27.8,1,N
3003,2014,2,5,22.9,1,N
3003,2014,2,6,23.6,1,N
3003,2014,2,7,23.6,1,N
3003,2014,2,8,25.2,1,N
3003,2014,2,9,27.1,1,N
3003,2014,2,10,24.5,1,N
3003,2014,2,11,23.8,1,N
3003,2014,2,12,25.4,1,N
3003,2014,2,13,28.1,1,N
3003,2014,2,14,27,1,N
3003,2014,2,15,27.8,1,N
3003,2014,2,16,28,1,N
3003,2014,2,17,27.9,1,N
3003,2014,2,18,28.4,1,N
3003,2014,2,19,26.1,1,N
3003,2014,2,20,27.2,1,N
3003,2014,2,21,27.7,1,N
3003,2014,2,22,26.7,1,N
3003,2014,2,23,24.9,1,N
3003,2014,2,24,24.1,1,N
3003,2014,2,25,22.8,1,N
3003,2014,2,26,25.9,1,N
3003,2014,2,27,26.5,1,N
3003,2014,2,28,26.8,1,N
3003,2014,3,1,24.7,1,N
3003,2014,3,2,26.1,1,N
3003,2014,3,3,27,1,N
3003,2014,3,4,24.8,1,N
3003,2014,3,5,26.3,1,N
3003,2014,3,6,24.9,1,N
3003,2014,3,7,24.4,1,N
3003,2014,3,8,23.1,1,N
3003,2014,3,9,27.4,1,N
3003,2014,3,10,26.6,1,N
3003,2014,3,11,26.2,1,N
3003,2014,3,12,26.6,1,N
3003,2014,3,13,26.7,1,N
3003,2014,3,14,27.2,1,N
3003,2014,3,15,26.8,1,N
3003,2014,3,16,29,1,N
3003,2014,3,17,29.5,1,N
3003,2014,3,18,23.5,1,N
3003,2014,3,19,27.5,1,N
3003,2014,3,20,27.1,1,N
3003,2014,3,21,27.6,1,N
3003,2014,3,22,26.9,1,N
3003,2014,3,23,25,1,N
3003,2014,3,24,25.4,1,N
3003,2014,3,25,23.6,1,N
3003,2014,3,26,26.3,1,N
3003,2014,3,27,24,1,N
3003,2014,3,28,25.7,1,N
3003,2014,3,29,21.2,1,N
3003,2014,3,30,24.9,1,N
3003,2014,3,31,23.6,1,N
3003,2014,4,1,28.1,1,N
3003,2014,4,2,25.9,1,N
3003,2014,4,3,29,1,N
3003,2014,4,4,26.3,1,N
3003,2014,4,5,21.5,1,N
3003,2014,4,6,26.6,1,N
3003,2014,4,7,27.1,1,N
3003,2014,4,8,23.1,1,N
3003,2014,4,9,23.3,1,N
3003,2014,4,10,23,1,N
3003,2014,4,11,24.7,1,N
3003,2014,4,12,26,1,N
3003,2014,4,13,22.6,1,N
3003,2014,4,14,22.1,1,N
3003,2014,4,15,18.6,1,N
3003,2014,4,16,18.4,1,N
3003,2014,4,17,18.5,1,N
3003,2014,4,18,21,1,N
3003,2014,4,19,23.2,1,N
3003,2014,4,20,18,1,N
3003,2014,4,21,20.1,1,N
3003,2014,4,22,20.5,1,N
3003,2014,4,23,18.1,1,N
3003,2014,4,24,18.1,1,N
3003,2014,4,25,18.9,1,N
3003,2014,4,26,20.2,1,N
3003,2014,4,27,21.2,1,N
3003,2014,4,28,22.3,1,N
3003,2014,4,29,25.8,1,N
3003,2014,4,30,25.2,1,N
3003,2014,5,1,25.7,1,N
3003,2014,5,2,24.9,1,N
3003,2014,5,3,21.1,1,N
3003,2014,5,4,15.5,1,N
3003,2014,5,5,18.4,1,N
3003,2014,5,6,22.2,1,N
3003,2014,5,7,22.7,1,N
3003,2014,5,8,21.6,1,N
3003,2014,5,9,22.1,1,N
3003,2014,5,10,24,1,N
3003,2014,5,11,23.2,1,N
3003,2014,5,12,23.1,1,N
3003,2014,5,13,21.7,1,N
3003,2014,5,14,20.4,1,N
3003,2014,5,15,20.6,1,N
3003,2014,5,16,21.6,1,N
3003,2014,5,17,21.3,1,N
3003,2014,5,18,21.6,1,N
3003,2014,5,19,20.4,1,N
3003,2014,5,20,22.5,1,N
3003,2014,5,21,22.5,1,N
3003,2014,5,22,20.1,1,N
3003,2014,5,23,21.5,1,N
3003,2014,5,24,23.1,1,N
3003,2014,5,25,19.9,1,N
3003,2014,5,26,18.7,1,N
3003,2014,5,27,17.1,1,N
3003,2014,5,28,17,1,N
3003,2014,5,29,18.9,1,N
3003,2014,5,30,20.3,1,N
3003,2014,5,31,20,1,N
3003,2014,6,1,17.7,1,N
3003,2014,6,2,16.7,1,N
3003,2014,6,3,19.8,1,N
3003,2014,6,4,18.3,1,N
3003,2014,6,5,16.2,1,N
3003,2014,6,6,15.5,1,N
3003,2014,6,7,14.9,1,N
3003,2014,6,8,16.1,1,N
3003,2014,6,9,15.3,1,N
3003,2014,6,10,12,1,N
3003,2014,6,11,12.7,1,N
3003,2014,6,12,13.2,1,N
3003,2014,6,13,15.4,1,N
3003,2014,6,14,14.3,1,N
3003,2014,6,15,14,1,N
3003,2014,6,16,10,1,N
3003,2014,6,17,9.6,1,N
3003,2014,6,18,8.3,1,N
3003,2014,6,19,9.8,1,N
3003,2014,6,20,11.8,1,N
3003,2014,6,21,14.2,1,N
3003,2014,6,22,17.3,1,N
3003,2014,6,23,18.2,1,N
3003,2014,6,24,20.3,1,N
3003,2014,6,25,18.8,1,N
3003,2014,6,26,15.1,1,N
3003,2014,6,27,14.8,1,N
3003,2014,6,28,13.5,1,N
3003,2014,6,29,11.7,1,N
3003,2014,6,30,9.9,1,N
3003,2014,7,1,10.2,1,N
3003,2014,7,2,7.5,1,N
3003,2014,7,3,8.7,1,N
3003,2014,7,4,8.7,1,N
3003,2014,7,5,8.5,1,N
3003,2014,7,6,9.9,1,N
3003,2014,7,7,9.6,1,N
3003,2014,7,8,10,1,N
3003,2014,7,9,9.6,1,N
3003,2014,7,10,11.4,1,N
3003,2014,7,11,11.6,1,N
3003,2014,7,12,14.4,1,N
14015,2014,1,1,25.7,1,Y
14015,2014,1,2,26.7,1,Y
14015,2014,1,3,26.9,1,Y
14015,2014,1,4,27,1,Y
14015,2014,1,5,25.2,1,Y
14015,2014,1,6,24.9,1,Y
14015,2014,1,7,26.2,1,Y
14015,2014,1,8,28,1,Y
14015,2014,1,9,28.6,1,Y
14015,2014,1,10,22.9,1,Y
14015,2014,1,11,22.6,1,Y
14015,2014,1,12,24.8,1,Y
14015,2014,1,13,23.8,1,Y
14015,2014,1,14,24.4,1,Y
14015,2014,1,15,24.6,1,Y
14015,2014,1,16,24,1,Y
14015,2014,1,17,23.6,1,Y
14015,2014,1,18,24.1,1,Y
14015,2014,1,19,23.9,1,Y
14015,2014,1,20,24.1,1,Y
14015,2014,1,21,25.2,1,Y
14015,2014,1,22,24.6,1,Y
14015,2014,1,23,24,1,Y
14015,2014,1,24,25,1,Y
14015,2014,1,25,23.5,1,Y
14015,2014,1,26,27.2,1,Y
14015,2014,1,27,24.2,1,Y
14015,2014,1,28,24.1,1,Y
14015,2014,1,29,23.8,1,Y
14015,2014,1,30,24.1,1,Y
14015,2014,1,31,24.3,1,Y
14015,2014,2,1,23.5,1,Y
14015,2014,2,2,25.3,1,Y
14015,2014,2,3,23.8,1,Y
14015,2014,2,4,24.9,1,Y
14015,2014,2,5,23.4,1,Y
14015,2014,2,6,24.5,1,Y
14015,2014,2,7,24.6,1,Y
14015,2014,2,8,25.4,1,Y
14015,2014,2,9,27.1,1,Y
14015,2014,2,10,25.1,1,Y
14015,2014,2,11,27.1,1,Y
14015,2014,2,12,26.2,1,Y
14015,2014,2,13,24.4,1,Y
14015,2014,2,14,25.7,1,Y
14015,2014,2,15,26.8,1,Y
14015,2014,2,16,26.7,1,Y
14015,2014,2,17,26.5,1,Y
14015,2014,2,18,21.6,1,Y
14015,2014,2,19,23.6,1,Y
14015,2014,2,20,24.2,1,Y
14015,2014,2,21,23.3,1,Y
14015,2014,2,22,26.2,1,Y
14015,2014,2,23,25.6,1,Y
14015,2014,2,24,25.3,1,Y
14015,2014,2,25,26.2,1,Y
14015,2014,2,26,26.2,1,Y
14015,2014,2,27,25.8,1,Y
14015,2014,2,28,26.2,1,Y
14015,2014,3,1,27.2,1,N
14015,2014,3,2,23.5,1,N
14015,2014,3,3,25,1,N
14015,2014,3,4,25.6,1,N
14015,2014,3,5,25.8,1,N
14015,2014,3,6,24,1,N
14015,2014,3,7,24,1,N
14015,2014,3,8,24.6,1,N
14015,2014,3,9,26.7,1,N
14015,2014,3,10,22.8,1,N
14015,2014,3,11,25.1,1,N
14015,2014,3,12,22.8,1,N
14015,2014,3,13,24.5,1,N
14015,2014,3,14,25.2,1,N
14015,2014,3,15,23.9,1,N
14015,2014,3,16,24.8,1,N
14015,2014,3,17,24.4,1,N
14015,2014,3,18,25.2,1,N
14015,2014,3,19,24.7,1,N
14015,2014,3,20,24.7,1,N
14015,2014,3,21,25.8,1,N
14015,2014,3,22,27.4,1,N
14015,2014,3,23,25.3,1,N
14015,2014,3,24,24.5,1,N
14015,2014,3,25,24,1,N
14015,2014,3,26,25.3,1,N
14015,2014,3,27,24.2,1,N
14015,2014,3,28,21.5,1,N
14015,2014,3,29,23.3,1,N
14015,2014,3,30,25.1,1,N
14015,2014,3,31,24.8,1,N
14015,2014,4,1,23.2,1,N
14015,2014,4,2,25.8,1,N
14015,2014,4,3,25.1,1,N
14015,2014,4,4,25.8,1,N
14015,2014,4,5,25.5,1,N
14015,2014,4,6,25.1,1,N
14015,2014,4,7,23.1,1,N
14015,2014,4,8,26.3,1,N
14015,2014,4,9,24.5,1,N
14015,2014,4,10,24.4,1,N
14015,2014,4,11,24.3,1,N
14015,2014,4,12,26.2,1,N
14015,2014,4,13,24.7,1,N
14015,2014,4,14,24.2,1,N
14015,2014,4,15,25.9,1,N
14015,2014,4,16,24.1,1,N
14015,2014,4,17,24.3,1,N
14015,2014,4,18,23.4,1,N
14015,2014,4,19,23.6,1,N
14015,2014,4,20,23.1,1,N
14015,2014,4,21,24.2,1,N
14015,2014,4,22,24.4,1,N
14015,2014,4,23,24.2,1,N
14015,2014,4,24,25.5,1,N
14015,2014,4,25,26.6,1,N
14015,2014,4,26,26.1,1,N
14015,2014,4,27,25.5,1,N
14015,2014,4,28,24.6,1,N
14015,2014,4,29,25.1,1,N
14015,2014,4,30,25.5,1,N
14015,2014,5,1,24.9,1,N
14015,2014,5,2,24.7,1,N
14015,2014,5,3,25.2,1,N
14015,2014,5,4,24.3,1,N
14015,2014,5,5,23.2,1,N
14015,2014,5,6,22.3,1,N
14015,2014,5,7,19.8,1,N
14015,2014,5,8,22.8,1,N
14015,2014,5,9,22,1,N
14015,2014,5,10,21.4,1,N
14015,2014,5,11,22.3,1,N
14015,2014,5,12,23.9,1,N
14015,2014,5,13,23.8,1,N
14015,2014,5,14,23.8,1,N
14015,2014,5,15,23.3,1,N
14015,2014,5,16,23.7,1,N
14015,2014,5,17,24.2,1,N
14015,2014,5,18,24.7,1,N
14015,2014,5,19,23.8,1,N
14015,2014,5,20,24.1,1,N
14015,2014,5,21,22.9,1,N
14015,2014,5,22,23.9,1,N
14015,2014,5,23,23.7,1,N
14015,2014,5,24,22.8,1,N
14015,2014,5,25,21.9,1,N
14015,2014,5,26,23.7,1,N
14015,2014,5,27,23.9,1,N
14015,2014,5,28,22.9,1,N
14015,2014,5,29,22.4,1,N
14015,2014,5,30,24.1,1,N
14015,2014,5,31,23.1,1,N
14015,2014,6,1,23.6,1,N
14015,2014,6,2,23.6,1,N
14015,2014,6,3,23.6,1,N
14015,2014,6,4,23.3,1,N
14015,2014,6,5,23.4,1,N
14015,2014,6,6,22.8,1,N
14015,2014,6,7,24.8,1,N
14015,2014,6,8,22.4,1,N
14015,2014,6,9,19,1,N
14015,2014,6,10,18.1,1,N
14015,2014,6,11,17.8,1,N
14015,2014,6,12,16.1,1,N
14015,2014,6,13,18.6,1,N
14015,2014,6,14,20,1,N
14015,2014,6,15,21,1,N
14015,2014,6,16,17.2,1,N
14015,2014,6,17,16,1,N
14015,2014,6,18,19.4,1,N
14015,2014,6,19,20.9,1,N
14015,2014,6,20,24.3,1,N
14015,2014,6,21,22.4,1,N
14015,2014,6,22,21,1,N
14015,2014,6,23,19.7,1,N
14015,2014,6,24,15,1,N
14015,2014,6,25,16,1,N
14015,2014,6,26,17.1,1,N
14015,2014,6,27,18.6,1,N
14015,2014,6,28,17.6,1,N
14015,2014,6,29,18.2,1,N
14015,2014,6,30,17.8,1,N
14015,2014,7,1,15.4,1,N
14015,2014,7,2,17.6,1,N
14015,2014,7,3,17.4,1,N
14015,2014,7,4,18.3,1,N
14015,2014,7,5,19.2,1,N
14015,2014,7,6,18.6,1,N
14015,2014,7,7,17.6,1,N
14015,2014,7,8,16.5,1,N
14015,2014,7,9,17.5,1,N
14015,2014,7,10,18.4,1,N
14015,2014,7,11,19.4,1,N
14015,2014,7,12,18.8,1,N
31011,2014,1,1,23.7,1,N
31011,2014,1,2,24.2,1,N
31011,2014,1,3,24.8,1,N
31011,2014,1,4,26.7,1,N
